iter	MAE
478	0.780678475
479	0.7806719367
480	0.7806441271
481	0.780622251
482	0.7806112614
483	0.780583173
484	0.7805398961
485	0.780533867
486	0.7805246946
487	0.7805231286
488	0.7805058607
489	0.7805033581
490	0.7804525283
491	0.7803968049
492	0.7801650894
493	0.7801213187
494	0.7800634736
495	0.7800395688
496	0.7799515523
497	0.7799199417
498	0.7798613177
499	0.7798166159
500	0.7796975836
501	0.7796739992
502	0.7796496413
503	0.7796467022
504	0.7796146871
505	0.7795754621
506	0.7794772861
507	0.7794766806
508	0.7794523046
509	0.7794108359
510	0.779372605
511	0.7793493191
512	0.7793399849
513	0.779304085
514	0.779236168
515	0.7791783911
516	0.779018371
517	0.7789874501
518	0.7789060882
519	0.7788583521
520	0.7787948162
521	0.7787304793
522	0.7786875467
523	0.7785798674
524	0.7785308672
525	0.7785098996
526	0.7784141962
527	0.7783674752
528	0.7783272982
529	0.7782859317
530	0.778262531
531	0.7782564707
532	0.7781538184
533	0.7781516322
534	0.778113165
535	0.7780577488
536	0.7779768893
537	0.7779457672
538	0.7778962934
539	0.7777616831
540	0.7777435549
541	0.7775657008
542	0.7775161046
543	0.7773871799
544	0.7773798225
545	0.7773109791
546	0.7772597209
547	0.7772382681
548	0.777208745
549	0.7771943645
550	0.7771781927
551	0.7770500732
552	0.7770217455
553	0.7769585901
554	0.7768842423
555	0.7768763305
556	0.7768627593
557	0.7768077438
558	0.7768022225
559	0.7767881521
560	0.7767864653
561	0.7767465196
562	0.7767089616
563	0.7766741547
564	0.7766611412
565	0.7765933011
566	0.776559217
567	0.7765478242
568	0.7764924069
569	0.7764888558
570	0.7762885855
571	0.7762659362
572	0.7761926996
573	0.776173806
574	0.7761394216
575	0.7761365595
576	0.7760422179
577	0.776025617
578	0.7760205937
579	0.7759904531
580	0.7759730751
581	0.7759604764
582	0.775914997
583	0.7758859466
584	0.7757775483
585	0.7756985534
586	0.7756320346
587	0.7756198915
588	0.7755757203
589	0.7755381806
590	0.775515503
591	0.7754745293
592	0.7754435634
593	0.7754334463
594	0.775408303
595	0.7753893104
596	0.7753746453
597	0.7753251656
598	0.7752977794
599	0.775199748
